Email,envelope,mailto:chris@boyle.name
PGP key,key,/download/chris-boyle-17B1CA7D64089528.asc
GitHub,,https://github.com/chrisboyle
Stack Overflow,,https://stackoverflow.com/users/6540/chris-boyle
Mastodon,,https://mas.to/@shortcipher
Bluesky,at,https://bsky.app/profile/chris.boyle.name
Facebook,,https://facebook.com/shortcipher
Instagram,,https://www.instagram.com/chris.boyle.name/
TikTok,,https://www.tiktok.com/@chris_boyle_name
LinkedIn,,https://www.linkedin.com/in/shortcipher/
Last.fm,,https://last.fm/user/shortcipher
Twitch,,https://twitch.tv/shortcipher
Steam,,https://steamcommunity.com/id/kerneloops
Ubisoft,,https://ubisoftconnect.com/en-GB/profile/kerneloops
